time (sec)	x (pixels)	y (pixels)
18.087	160.12	33.894
18.152	193.61	27.426
18.217	294.447	14.333
18.28	420.819	10.705
18.362	537.15	19.628
18.434	608.01	29.681
18.499	615.73	30.622
18.567	564.57	22.166
18.632	456.817	11.296
18.697	330.416	12.031
18.763	220.51	23.628
18.839	167.57	32.448
18.909	171.63	31.414
18.974	235.87	20.868
19.047	353.21	10.92
19.114	477.704	13.651
19.181	574.79	24.704
19.254	612.74	30.091
19.321	596.33	26.972
19.383	515.62	16.006
19.447	396.346	9.942
19.526	277.5	16.549
19.591	190.86	28.407
19.655	168.25	32.36
19.734	201.85	26.248
19.798	291.381	14.948
19.869	412.606	10.598
19.932	526.54	18.007
20.005	597.53	27.704
20.071	607.3	29.048
20.134	561.45	21.335
20.214	460.334	11.564
20.279	338.272	11.777
20.342	235.36	21.824
20.406	176.97	30.535
20.486	178.19	29.975
20.55	242.3	19.89
20.621	349.098	11.169
20.694	469.086	13.171
20.759	563.95	22.812
20.822	604.13	28.39
20.887	590.52	25.848
20.966	515.5	15.613
21.037	402.252	9.958
21.104	283.8	15.839
21.176	201.42	26.389
21.24	178.36	30.312
21.303	203.05	25.719
21.383	291.484	14.744
21.448	407.181	10.604
21.511	517.27	16.886
21.575	588.1	26.173
21.655	599.73	27.318
21.719	558.4	21.026
21.782	462.524	11.728
21.863	345.347	11.454
21.929	240.76	20.677
21.992	186.31	28.565
22.056	186.09	28.558
22.135	240.17	19.935
22.199	346.02	11.225
22.263	461.832	12.421
22.342	555.15	21.293
22.406	595.83	26.905
22.47	584.8	24.862
22.535	514.34	15.527
22.615	405.459	10.009
22.68	294.28	14.908
22.743	210.18	24.818
22.822	184.67	29.044
22.887	211.31	24.682
22.951	289.89	15.046
23.014	401.809	10.496
23.094	509.66	15.927
23.159	579.99	24.826
23.223	593.36	26.144
23.303	555.02	20.453
23.367	463.313	11.782
23.431	349.441	11.375
23.496	250.93	19.358
23.573	197.96	27.188
23.638	196.76	27.177
23.703	245.88	19.615
23.783	343.368	11.292
23.849	455.752	12.012
23.923	547.28	20.331
23.998	589.17	25.755
24.066	579.54	23.958
24.134	513.35	15.521
24.265	299.551	14.348
24.335	221.33	23.838
24.397	196.81	26.909
24.47	216.28	23.618
24.536	291.332	14.768
24.598	398.456	10.093
24.662	503.19	15.377
24.742	572.38	23.603
24.807	586.48	24.798
24.871	551.02	19.71
24.954	463.303	11.861
25.019	353.747	11.231
25.082	257.91	18.487
25.143	205.66	25.956
25.223	203.02	25.805
25.287	249.64	18.993
25.351	342.495	11.235
25.43	451.422	11.798
25.495	540.32	19.306
25.56	582.34	24.701
25.625	573.92	23.03
25.703	510.97	15.248
25.768	409.976	10.165
25.831	304.571	13.863
25.91	228.42	22.53
25.976	203.72	25.708
26.04	221.95	22.833
26.108	293.059	14.576
26.183	396.227	10.191
26.246	498.02	14.827
26.31	565.6	22.497
26.39	580.22	23.883
26.455	547	19.186
26.518	462.968	11.868
26.598	356.895	11.006
26.663	264	17.825
26.728	211.88	24.595
26.793	209.44	24.736
26.87	253.43	18.62
26.935	343	11.133
27	448.128	11.669
