date	weekly average ssn
07/04/79	114.85714
07/11/79	179
07/18/79	193.57143
07/25/79	116.14286
08/01/79	112.28571
08/08/79	180
08/15/79	192.14286
08/22/79	121.42857
08/29/79	149.14286
09/05/79	133
09/12/79	112.14286
09/19/79	102.28571
09/26/79	181.42857
10/03/79	179.57143
10/10/79	151
10/17/79	175.28571
10/24/79	177.71429
10/31/79	226.57143
11/07/79	204.28571
11/14/79	182.28571
11/21/79	203.42857
11/28/79	189.71429
12/05/79	177.71429
12/12/79	196.14286
12/19/79	244.42857
12/26/79	163.28571
01/02/80	133.14286
01/09/80	176.71429
01/16/80	250.28571
01/23/80	180.71429
01/30/80	119
02/06/80	136
02/13/80	207.42857
02/20/80	181.57143
02/27/80	121.57143
03/05/80	130.71429
03/12/80	192.42857
03/19/80	151.71429
03/26/80	134.85714
04/02/80	137.14286
04/09/80	154.14286
04/16/80	85.85714
04/23/80	73.28571
04/30/80	161.57143
05/07/80	173.42857
05/14/80	184.57143
05/21/80	201.85714
05/28/80	128.14286
06/04/80	142.14286
06/11/80	156.57143
06/18/80	151.57143
06/25/80	208.71429
07/02/80	221.28571
07/09/80	140.42857
07/16/80	158.42857
07/23/80	143
07/30/80	184.85714
08/06/80	132.14286
08/13/80	90.42857
08/20/80	141.14286
08/27/80	208.14286
09/03/80	120
09/10/80	65.71429
09/17/80	152.14286
09/24/80	184.14286
10/01/80	121
10/08/80	205
10/15/80	142.14286
10/22/80	107
10/29/80	153.14286
11/05/80	174.57143
11/12/80	138
11/19/80	231.71429
11/26/80	151.85714
12/03/80	141.57143
12/10/80	200.28571
12/17/80	151.28571
12/24/80	112
12/31/80	128.71429
01/07/81	159
01/14/81	128.42857
01/21/81	201.57143
01/28/81	179
02/04/81	193.71429
02/11/81	106.28571
02/18/81	118.57143
02/25/81	85.14286
03/04/81	129.28571
03/11/81	141.42857
03/18/81	156.71429
03/25/81	132.42857
04/01/81	128.42857
04/08/81	167.28571
04/15/81	132.57143
04/22/81	113.14286
04/29/81	131.28571
05/06/81	151.14286
05/13/81	160.42857
05/20/81	196.85714
05/27/81	172.57143
06/03/81	94.28571
06/10/81	154
06/17/81	162
06/24/81	112.42857
07/01/81	97.85714
07/08/81	70
07/15/81	57.85714
07/22/81	101
07/29/81	101.28571
08/05/81	138.71429
08/12/81	91.71429
08/19/81	139.57143
08/26/81	148.71429
09/02/81	193.71429
09/09/81	116.28571
09/16/81	127.28571
09/23/81	151.85714
09/30/81	206.57143
10/07/81	200.71429
10/14/81	197.71429
10/21/81	139.71429
10/28/81	151
11/04/81	181.14286
11/11/81	190.57143
11/18/81	163.57143
11/25/81	187.71429
12/02/81	102.57143
12/09/81	195.28571
12/16/81	166
12/23/81	128.85714
12/30/81	68.71429
01/06/82	160.28571
01/13/82	238.42857
01/20/82	158
01/27/82	72
02/03/82	110.28571
02/10/82	99.85714
